,,番号,商号等,法人番号,所在地,有効期限,変更公告日,,
,,60,株式会社麻生,2290001045328 ,福岡県飯塚市芳雄町７番18号,2019.4.30,,,
,,61,株式会社民間資金等活用事業推進機構,8010001156312 ,東京都千代田区大手町一丁目６－１,2019.4.30,,,
,,62,公益財団法人住友財団,9010405008050 ,東京都港区芝大門１－12－16　住友芝大門ビル２号館,2019.4.30,,,
,,63,ソフトバンクグループジャパン株式会社,4010401054854 ,東京都港区東新橋一丁目９番１号,2019.4.30,,,
,,64,東ソー株式会社,5250001010002 ,東京都港区芝３－８－２　芝公園ファーストビル,2019.4.30,,,
,,65,日本証券金融株式会社,3010001034992 ,東京都中央区日本橋茅場町１－２－10,2019.4.30,,,
,,66,日本たばこ産業株式会社,4010401023000 ,東京都港区虎ノ門２－２－１,2019.4.30,,,
,,67,日本ユニシス株式会社,2010601029542 ,東京都江東区豊洲１－１－１ ,2019.4.30,,,
,,68,フィデリティ・ジャパン・ホールディングス株式会社,8010401055295 ,東京都港区六本木七丁目７番７,2019.4.30,,,
,,69,有限会社ミロス,2010402036184 ,東京都新宿区西新宿三丁目３番23号,2019.4.30,,,
,,70,両備ホールディングス株式会社,7260001007086 ,岡山県岡山市東区西大寺上一丁目１番50号,2019.4.30,,,
,,71,ワイズ・エージェンシー株式会社,3010401045243 ,東京都千代田区紀尾井町１番３号,2019.4.30,,,
,,72,GEキャピタル・アセット・ファイナンス合同会社,2010401059418 ,東京都港区赤坂五丁目２番20号　赤坂パークビル15階 ,2019.5.31,,,
